brand_id,duplicate_brand_id,main_product_title,dup_product_title
33893,33893,USBLT2MW 2m Lightning to USB Cable,"""USBLT15CMW 6"""" Lightning to USB Cable"""
33893,33893,USBLT2MW 2m Lightning to USB Cable,"""USBLT15CMW 6"""" Lightning to USB Cable"""
33893,33893,USBLT2MW 2m Lightning to USB Cable,"""USBLT15CMW 6"""" Lightning to USB Cable"""
8920,8920,USBLT2MW 2m Lightning to USB Cable,Lightning to USB Cable
8920,8920,USBLT2MW 2m Lightning to USB Cable,Lightning to USB Cable
8920,8920,USBLT2MW 2m Lightning to USB Cable,Lightning to USB Cable
23252,23252,USBLT2MW 2m Lightning to USB Cable,lightning to usb cable
23252,23252,USBLT2MW 2m Lightning to USB Cable,lightning to usb cable
23252,23252,USBLT2MW 2m Lightning to USB Cable,lightning to usb cable
3285,3285,USBLT2MW 2m Lightning to USB Cable,Lightning to USB Cable
3285,3285,USBLT2MW 2m Lightning to USB Cable,Lightning to USB Cable
3285,3285,USBLT2MW 2m Lightning to USB Cable,Lightning to USB Cable
37194,37194,HP Compaq nc6400 Laptop Screen 14.1 LCD CCFL WXGA 1280x800,HP COMPAQ 380724-001 Laptop Screen 17 LCD CCFL WXGA 1440x900
44804,44804,HP Compaq nc6400 Laptop Screen 14.1 LCD CCFL WXGA 1280x800,HP Compaq 6531s Laptop Screen 14.1 LCD CCFL WXGA 1280x800
13522,13522,HP Compaq nc6400 Laptop Screen 14.1 LCD CCFL WXGA 1280x800,HP Compaq 6730s Laptop Screen 15.4 LCD CCFL WXGA 1280x800
17888,17888,HP Compaq nc6400 Laptop Screen 14.1 LCD CCFL WXGA 1280x800,Compaq Presario CQ61-216EL Laptop Screen 15.6 LCD CCFL WXGA HD 1366x768
42408,42408,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-965-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 15 FT Yellow
42408,42408,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-965-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 15 FT Yellow
42408,42408,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-965-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 15 FT Yellow
42408,42408,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-965-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 15 FT Yellow
13931,13931,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-962-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 5 FT Yellow
13931,13931,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-962-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 5 FT Yellow
3988,3988,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-968-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 75 FT Yellow
3988,3988,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-968-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 75 FT Yellow
3988,3988,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-968-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 75 FT Yellow
3988,3988,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-968-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 75 FT Yellow
30744,30744,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-963-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 7 FT Yellow
30744,30744,1081-960-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 1.5 FT Yellow,1081-963-N Cmple Cat6 500MHz UTP Ethernet Lan Network Patch Cable 7 FT Yellow
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513123""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513112"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513123""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513122"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513123""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513114"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513111""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513112"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513111""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513122"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513111""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513114"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513125""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513112"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513125""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513122"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513125""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513114"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513115""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513112"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513115""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513122"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513115""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513114"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513102""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513112"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513102""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513122"""
38488,38488,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513102""","""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513114"""
18319,18319,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513123""","""Leaves Of Lace Laser Custom Rectangle Mouse Pad Oblong Gaming Mousepad in 220mm*180mm*3mm 9""""*7"""" -1023"""
18319,18319,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513123""","""Fatherly Love Laser Technology Custom Rectangle Mouse Pad Oblong Gaming Mousepad in 220mm*180mm*3mm 9""""*7"""" -1026085"""
18319,18319,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513123""",My Chemical Romance Punk Group Lyrics Personalized Rectangle Mouse Pad
18319,18319,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513123""","""Fractal Custom Rectangle Mouse Pad Oblong Gaming Mousepad in 220mm*180mm*3mm 9""""*7"""" -913019"""
18319,18319,"""Custom Printed with Living World Oblong Mouse Pads/ Standard Rectangle Gaming Mousepad in 9""""*7"""" -513123""","""Light Lamp Custom Rectangle Rubber Mouse Pad Oblong Gaming Mousepad in 220mm*180mm*3mm 9""""*7"""" -100801"""
